age	tech	time
26	t	5.75904
43	k	21.35630
46	m	12.75781
30	t	13.50932
34	m	15.41680
46	t	21.88883
16	m	16.87210
34	k	25.99905
48	t	4.99740
27	t	9.15104
43	t	10.14713
19	m	15.56248
33	m	15.20371
60	k	12.94736
26	k	12.44065
19	k	35.08505
28	m	16.83123
22	t	14.79291
29	t	17.90336
27	k	28.64659
34	t	16.48233
32	t	23.48857
27	k	23.00692
22	t	23.44116
38	m	22.04624
46	m	22.22240
52	k	19.12009
42	t	18.99433
48	t	7.21924
21	t	6.69160
42	k	14.52801
55	t	6.23412
20	k	31.74573
27	m	12.82566
46	t	10.19659
32	m	22.81769
37	t	22.51997
56	k	13.44615
28	m	12.56838
32	t	12.44608
58	k	24.62808
29	t	5.56728
41	m	27.79952
41	m	8.75532
29	t	9.89816
32	t	5.92310
40	m	10.64246
41	t	10.30916
44	m	26.69643
39	t	10.53846
48	m	19.50752
35	k	8.14651
25	m	9.34686
46	k	31.78279
43	t	26.71320
55	t	9.37951
19	t	19.85041
34	k	32.67692
44	t	24.86552
26	k	25.45811
21	k	22.02533
52	t	5.24118
57	t	6.10748
20	t	12.82920
40	m	27.05164
27	m	17.59741
41	m	12.71040
35	k	23.93663
41	t	14.08374
62	t	14.65107
61	k	35.11883
26	k	21.02034
29	t	17.53684
29	m	20.60106
19	k	18.27593
61	t	19.34125
41	t	12.05326
39	k	25.15527
30	m	21.60083
28	m	8.47228
30	k	8.97971
31	k	18.21453
31	k	36.17276
25	m	26.44463
54	t	21.98050
30	k	18.77259
28	k	24.00450
47	k	13.22823
25	t	4.53969
62	m	8.76623
44	t	18.06291
34	m	17.51006
29	k	20.38204
38	k	25.63513
31	t	10.11664
31	k	19.15839
42	m	12.45950
28	k	15.10574
50	m	26.01459
28	k	13.61718
52	k	20.15171
45	k	22.59942
46	m	21.06259
34	m	23.06924
28	m	16.35049
34	t	21.37360
25	m	15.34000
32	t	12.35964
19	t	9.94753
23	t	6.76490
29	k	13.52018
18	k	20.09984
27	m	16.97593
32	t	15.33224
30	m	6.16225
41	t	22.77338
43	k	34.52170
57	m	5.07894
33	k	20.27112
22	t	11.15128
34	t	7.99353
21	t	17.54742
41	m	22.16801
46	k	10.69357
50	k	30.14184
52	t	6.20232
49	t	5.64816
40	k	24.65908
28	k	33.62777
42	k	21.93160
36	k	13.97519
36	m	24.96890
30	m	14.63174
33	k	36.27852
40	t	12.01370
58	k	25.27536
37	m	13.20337
25	m	25.06952
35	k	15.76704
50	t	13.42043
30	m	10.41979
38	t	10.72746
42	m	15.97109
44	k	22.10524
23	k	32.84949
50	t	11.55673
46	k	24.14380
32	t	5.65517
30	k	23.24971
37	t	6.35955
50	t	15.38014
40	t	18.94893
34	t	14.09119
50	m	10.38597
60	k	23.23533
40	m	26.28579
24	k	17.83895
25	k	31.35892
34	m	7.59889
53	k	20.32909
38	m	7.43967
36	m	14.65129
34	t	8.60689
35	m	18.83166
56	m	9.37722
35	t	20.37513
42	k	19.06607
44	k	35.16344
28	m	17.48605
34	t	9.50366
54	m	24.65890
43	t	5.79617
50	k	18.04079
31	t	11.33704
26	k	19.45694
59	k	19.65955
19	m	14.03362
46	k	18.91777
26	k	22.31447
33	t	20.23832
32	k	15.49905
45	t	20.91378
18	m	13.93081
35	k	39.34357
27	m	10.05469
29	k	11.45271
34	t	25.23317
27	t	8.36645
31	k	9.55570
47	k	36.87415
23	m	10.57443
60	m	19.12618
31	k	28.97658
42	m	18.73861
54	k	27.99486
21	m	12.19367
23	m	28.13352
36	m	14.37373
30	m	13.55901
45	t	8.24978
45	t	7.83086
42	k	22.66445
25	m	17.58094
43	k	23.39987
32	m	26.03756
37	m	10.88654
62	t	11.57099
27	k	21.19731
43	m	22.15766
23	k	29.73157
56	t	16.25329
57	m	20.17716
41	k	29.23362
46	t	10.92912
34	m	22.63620
62	k	32.45731
49	k	24.23148
43	t	22.76273
22	k	17.34734
38	k	25.60803
32	t	28.00178
41	m	17.47031
28	t	11.09714
23	k	28.43506
30	t	24.40532
18	t	8.82342
54	t	4.50175
32	m	12.37365
47	m	9.88135
30	m	13.12519
35	k	14.65365
30	m	27.47773
57	t	11.32555
26	m	8.74530
31	t	16.50082
33	t	26.09722
39	k	29.33498
39	k	24.08481
29	t	9.92062
32	t	16.62206
24	k	9.06862
26	t	13.81565
37	t	9.26852
29	m	10.98352
29	t	17.32228
38	k	9.14445
28	t	7.41332
25	m	9.66245
45	t	22.49759
59	k	24.27235
37	k	21.51611
52	m	9.88444
25	k	24.83388
43	k	22.89960
25	m	7.39950
38	t	9.28636
32	m	14.32739
48	t	5.21589
27	k	27.17022
44	k	27.58259
25	t	6.03192
55	m	9.21699
29	m	14.94014
36	m	25.68691
35	m	24.16236
29	k	17.97797
21	k	19.99770
27	t	16.58637
55	k	12.32346
57	k	18.90098
46	m	20.11252
39	k	23.51161
40	t	19.09215
32	m	12.32557
25	k	18.79066
34	k	24.50360
29	m	7.29051
39	t	5.47273
27	m	14.31120
35	m	15.85633
57	k	26.26045
42	t	23.44174
49	m	31.76139
45	t	20.18783
57	m	16.51469
21	t	25.90092
56	k	17.62070
48	m	18.33624
24	t	26.71988
31	m	6.13358
45	t	23.18204
51	m	21.94604
42	m	17.38169
57	m	8.12235
25	k	19.79065
47	m	23.40849
33	t	9.25465
35	t	8.78582
50	k	20.53529
45	m	27.92011
43	k	20.86320
53	k	26.06606
26	m	14.41795
29	t	9.66565
33	k	27.38606
53	k	19.54293
29	t	12.61181
45	k	22.19477
28	m	13.67089
40	t	12.80833
27	m	9.91365
36	m	8.78196
58	t	10.14122
26	m	11.35685
35	m	15.33058
34	t	8.27612
18	k	28.03804
29	m	9.12785
39	k	25.91445
42	m	6.80264
25	k	11.73937
31	k	19.35090
61	k	22.92231
18	t	15.36931
62	k	19.22922
55	t	8.16523
40	k	17.42352
32	m	17.71271
24	t	12.10723
35	t	12.99980
38	t	8.31812
35	m	8.05468
21	k	30.62601
37	k	12.07937
36	k	28.26013
39	k	29.98609
31	t	11.49677
46	t	11.95816
30	m	11.81608
21	t	11.47216
47	k	24.70364
33	m	9.94710
27	k	22.36688
36	k	36.19321
22	k	24.82946
20	t	8.99188
23	k	8.31702
39	t	5.95019
34	k	19.19913
37	t	6.82677
39	t	16.03782
20	m	26.49854
48	m	22.60369
43	m	9.80595
46	m	22.19775
36	m	14.43602
43	k	17.34357
43	t	17.23807
50	k	20.09445
35	m	33.61162
54	k	28.13924
27	k	11.58986
59	t	7.74273
31	m	6.95945
25	m	8.20233
59	k	22.45794
32	m	14.99578
56	t	23.03522
41	t	18.03389
28	k	21.65188
49	m	17.43682
35	k	19.42667
33	m	23.14093
35	k	36.74325
45	m	9.26234
25	m	20.69423
50	t	9.75483
23	t	12.66811
62	t	7.69402
45	k	19.95823
42	m	13.80758
24	k	19.10549
21	k	29.02133
25	k	31.55906
44	t	22.78837
37	m	10.65836
36	k	15.10259
34	m	15.47900
43	k	25.33064
56	t	9.99527
45	k	19.56943
46	t	6.85600
30	k	24.76173
45	k	33.03289
39	m	6.42914
51	t	4.65611
21	t	5.82578
31	k	33.28074
61	k	18.47773
30	m	17.60820
21	m	17.32781
37	m	16.80707
58	m	6.64919
43	k	16.09178
31	t	11.02881
40	m	13.21556
30	k	22.19230
35	t	5.25101
22	m	31.53862
48	m	18.07065
47	k	26.66546
34	k	9.70460
49	k	22.77081
57	k	31.98529
43	k	19.87720
36	t	8.90110
36	m	21.20159
30	k	31.32848
34	m	10.54198
34	t	13.60078
43	m	14.91606
39	m	13.57816
28	t	11.93866
30	k	22.51667
52	t	20.00904
44	m	12.44877
48	t	7.07687
23	k	30.78358
53	t	10.73938
29	m	6.47512
39	t	6.98133
41	t	5.58223
25	k	23.63474
57	k	17.82514
38	m	10.00088
39	k	31.89817
27	k	32.12437
54	k	28.50479
17	m	13.10296
48	k	23.07857
43	k	36.28829
35	t	10.76524
37	m	15.23850
20	m	6.87729
55	k	7.91160
36	t	18.59358
33	k	20.69338
29	k	14.49171
52	t	9.19995
25	k	37.35805
43	m	16.00251
36	k	22.32064
42	m	14.88455
43	k	25.54100
17	t	22.69533
38	t	14.85132
32	m	14.71859
38	t	19.85900
48	k	19.35263
22	t	16.88637
39	m	24.83020
22	m	9.92225
37	t	6.14599
30	k	20.97238
28	k	33.89189
36	k	13.15657
23	m	18.39855
32	k	29.67901
26	k	22.79376
50	t	10.32605
28	m	20.71176
26	k	23.53166
23	t	6.23393
18	t	6.76021
34	k	22.03124
55	m	12.40337
28	m	22.70601
26	m	24.52070
33	t	4.86049
29	m	7.52449
23	m	9.83317
34	k	30.31042
28	t	13.53431
48	m	27.03214
40	m	16.03882
24	t	15.79882
43	m	18.66464
21	k	10.08978
36	k	16.20741
32	m	23.90753
40	t	6.80843
48	m	17.60600
24	m	16.60251
58	t	14.58511
36	k	25.39929
26	m	31.75657
48	m	28.33099
31	k	29.12156
53	m	12.40314
38	m	29.72207
36	t	13.96147
46	k	30.50569
53	m	10.75831
19	m	6.21234
61	m	7.33615
31	k	21.68527
35	m	19.43835
23	k	16.32394
30	t	19.99795
31	m	31.79598
44	m	12.02676
31	m	22.11069
60	m	9.63383
29	t	13.40008
35	k	21.00946
37	t	15.78484
54	t	21.62916
32	t	20.97522
43	k	10.83380
30	t	9.51725
34	t	6.49184
